OrderID,OrderDate,CustomerID,CustomerName,Segment,Region,State,Category,SubCategory,Product,UnitPrice,Quantity,Discount,Sales,Cost,Profit,PaymentMethod,ShipMode,ProfitMargin
ORD-00001,2024-07-08,C0178,Isha Khan,Corporate,South,North Carolina,Office Supplies,Writing,Desk Organizer,28,7,0.0,196.0,80.36,115.64,Debit Card,Standard Class,59.0
ORD-00002,2024-03-26,C0137,Lucas Miller,Home Office,South,Georgia,Office Supplies,Paper,Copy Paper,15,8,0.0,120.0,42.0,78.0,UPI,Second Class,65.0
ORD-00003,2024-08-31,C0033,Liam Patel,Consumer,South,Georgia,Technology,Accessories,Laptop Sleeve,35,5,0.1,157.5,66.5,91.0,UPI,Standard Class,57.78
ORD-00004,2025-10-13,C0054,Liam Davis,Consumer,East,Massachusetts,Office Supplies,Paper,Notebook Set,22,3,0.2,52.8,26.4,26.4,Debit Card,First Class,50.0
ORD-00005,2025-08-15,C0019,Aarav Patel,Home Office,Central,Texas,Furniture,Tables,Coffee Table,149,3,0.0,447.0,232.44,214.56,UPI,Same Day,48.0
ORD-00006,2024-05-08,C0109,Ananya Sharma,Consumer,South,North Carolina,Office Supplies,Paper,Notebook Set,22,9,0.0,198.0,79.2,118.8,Credit Card,Same Day,60.0
ORD-00007,2025-11-03,C0052,Mia Sharma,Consumer,Central,Texas,Furniture,Chairs,Ergonomic Chair,399,5,0.0,1995.0,1256.85,738.15,Credit Card,Standard Class,37.0
ORD-00008,2025-12-02,C0034,Sara Khan,Home Office,West,California,Office Supplies,Paper,Copy Paper,15,4,0.0,60.0,21.0,39.0,Credit Card,Standard Class,65.0
ORD-00009,2024-09-21,C0122,Sara Brown,Home Office,Central,Ohio,Technology,Phones,Wireless Headset,129,5,0.1,580.5,316.05,264.45,Bank Transfer,First Class,45.56
ORD-00010,2024-05-18,C0056,Liam Brown,Consumer,Central,Illinois,Office Supplies,Writing,Pen Pack,12,9,0.0,108.0,32.4,75.6,Bank Transfer,Second Class,70.0
ORD-00011,2025-01-11,C0024,Sara Miller,Corporate,Central,Ohio,Furniture,Tables,Coffee Table,149,5,0.2,596.0,387.4,208.6,Debit Card,Second Class,35.0
ORD-00012,2024-04-24,C0118,Ananya Wilson,Consumer,West,Oregon,Furniture,Tables,Study Desk,279,3,0.05,795.15,502.2,292.95,Bank Transfer,First Class,36.84
ORD-00013,2025-05-05,C0035,Ananya Johnson,Corporate,East,Massachusetts,Technology,Accessories,Laptop Sleeve,35,2,0.0,70.0,26.6,43.4,Credit Card,Standard Class,62.0
ORD-00014,2025-07-29,C0030,Sara Wilson,Corporate,West,Washington,Furniture,Chairs,Office Chair,199,4,0.2,636.8,453.72,183.08,Credit Card,First Class,28.75
ORD-00015,2025-08-13,C0112,Ethan Patel,Corporate,West,California,Technology,Phones,Wireless Headset,129,2,0.0,258.0,126.42,131.58,Debit Card,Second Class,51.0
ORD-00016,2025-03-25,C0030,Sara Wilson,Corporate,Central,Ohio,Office Supplies,Writing,Pen Pack,12,11,0.05,125.4,39.6,85.8,Bank Transfer,Second Class,68.42
ORD-00017,2024-03-24,C0104,Lucas Garcia,Corporate,West,Washington,Office Supplies,Paper,Notebook Set,22,3,0.1,59.4,26.4,33.0,UPI,Standard Class,55.56
ORD-00018,2024-12-06,C0066,Lucas Wilson,Corporate,East,Massachusetts,Office Supplies,Writing,Desk Organizer,28,3,0.1,75.6,34.44,41.16,UPI,Second Class,54.44
ORD-00019,2024-05-21,C0113,Ananya Davis,Corporate,West,Oregon,Technology,Accessories,USB-C Hub,59,1,0.1,53.1,26.55,26.55,UPI,First Class,50.0
ORD-00020,2025-09-03,C0157,Noah Patel,Consumer,West,Washington,Office Supplies,Writing,Pen Pack,12,6,0.0,72.0,21.6,50.4,Bank Transfer,Second Class,70.0
ORD-00021,2025-06-30,C0074,Mia Sharma,Corporate,East,Pennsylvania,Technology,Accessories,Laptop Sleeve,35,2,0.1,63.0,26.6,36.4,Bank Transfer,Second Class,57.78
ORD-00022,2024-12-10,C0036,Sara Garcia,Home Office,West,California,Furniture,Chairs,Ergonomic Chair,399,3,0.2,957.6,754.11,203.49,Bank Transfer,Same Day,21.25
ORD-00023,2024-01-03,C0054,Liam Davis,Consumer,East,New York,Technology,Accessories,Laptop Sleeve,35,4,0.1,126.0,53.2,72.8,Credit Card,Same Day,57.78
ORD-00024,2024-03-12,C0179,Noah Patel,Home Office,Central,Ohio,Technology,Computers,Laptop,1099,5,0.0,5495.0,3626.7,1868.3,UPI,Second Class,34.0
ORD-00025,2024-10-19,C0009,Isha Johnson,Home Office,West,Washington,Technology,Computers,Laptop,1099,5,0.15,4670.75,3626.7,1044.05,UPI,Standard Class,22.35
ORD-00026,2024-09-11,C0091,Liam Garcia,Corporate,Central,Ohio,Office Supplies,Storage,Filing Cabinet,189,10,0.0,1890.0,1152.9,737.1,Bank Transfer,First Class,39.0
ORD-00027,2025-02-17,C0164,Isha Brown,Home Office,Central,Texas,Technology,Phones,Smartphone,699,3,0.2,1677.6,1132.38,545.22,UPI,First Class,32.5
ORD-00028,2024-02-07,C0043,Sara Miller,Consumer,West,Oregon,Office Supplies,Storage,Storage Box,32,2,0.15,54.4,27.52,26.88,Credit Card,First Class,49.41
ORD-00029,2024-11-28,C0116,Ananya Garcia,Home Office,East,New York,Technology,Phones,Wireless Headset,129,1,0.15,109.65,63.21,46.44,Credit Card,Second Class,42.35
ORD-00030,2024-01-06,C0025,Noah Khan,Home Office,Central,Texas,Office Supplies,Writing,Pen Pack,12,1,0.0,12.0,3.6,8.4,Debit Card,Second Class,70.0
ORD-00031,2024-09-20,C0001,Liam Sharma,Home Office,West,California,Office Supplies,Storage,Filing Cabinet,189,12,0.0,2268.0,1383.48,884.52,UPI,Standard Class,39.0
ORD-00032,2024-11-22,C0175,Noah Garcia,Consumer,Central,Ohio,Technology,Phones,Wireless Headset,129,1,0.05,122.55,63.21,59.34,Bank Transfer,First Class,48.42
ORD-00033,2024-05-21,C0049,Kavya Davis,Home Office,West,Oregon,Technology,Computers,Laptop,1099,2,0.2,1758.4,1450.68,307.72,UPI,Second Class,17.5
ORD-00034,2024-09-20,C0063,Mia Patel,Consumer,West,California,Furniture,Tables,Study Desk,279,4,0.0,1116.0,669.6,446.4,Bank Transfer,Same Day,40.0
ORD-00035,2025-07-30,C0117,Mia Brown,Corporate,West,Washington,Office Supplies,Writing,Pen Pack,12,4,0.1,43.2,14.4,28.8,Bank Transfer,Second Class,66.67
ORD-00036,2024-06-07,C0059,Isha Wilson,Home Office,South,Georgia,Furniture,Tables,Study Desk,279,1,0.0,279.0,167.4,111.6,Bank Transfer,Standard Class,40.0
ORD-00037,2025-09-23,C0140,Aarav Sharma,Consumer,Central,Illinois,Technology,Accessories,Laptop Sleeve,35,2,0.15,59.5,26.6,32.9,Bank Transfer,First Class,55.29
